ID,FREQUENCY,ENABLED,REPORT NAME,API NAME,FILE NAME,URI
1,,FALSE,Non-Firm PTP Resale Credits,non-firmptpresalecredits,NFPTPResCr,https://msrs.pjm.com/msrs/browserless.do?
2,,FALSE,Non-Firm PTP Resale Charges,non-firmptpresalecharges,NFPTPResCh,https://msrs.pjm.com/msrs/browserless.do?
3,,FALSE,Firm PTP Resale Credits,firmptpresalecredits,FPTPResCr,https://msrs.pjm.com/msrs/browserless.do?
4,,FALSE,Firm PTP Resale Charges,firmptpresalecharges,FPTPResCh,https://msrs.pjm.com/msrs/browserless.do?
5,,FALSE,Cross-monthly Congestion Credit Summary,cross-monthlycongestioncreditsummary,XMonthCong,https://msrs.pjm.com/msrs/browserless.do?
6,,FALSE,Generator LMP Charges,generatorlmpcharges,GenLmpCh,https://msrs.pjm.com/msrs/browserless.do?
7,,FALSE,Firm PTP Merchant Resale Credits,firmptpmerchantresalecredits,FMchResCr,https://msrs.pjm.com/msrs/browserless.do?
8,,FALSE,Firm PTP Merchant Resale Charges,firmptpmerchantresalecharges,FMchResCh,https://msrs.pjm.com/msrs/browserless.do?
9,,FALSE,Non-Firm PTP Merchant Resale Credits,non-firmptpmerchantresalecredits,NFMchResCr,https://msrs.pjm.com/msrs/browserless.do?
10,,FALSE,Non-Firm PTP Merchant Resale Charges,non-firmptpmerchantresalecharges,NFMchResCh,https://msrs.pjm.com/msrs/browserless.do?
11,,FALSE,Generation Deactivation Charge Summary,generationdeactivationchargesummary,GenDeactCh,https://msrs.pjm.com/msrs/browserless.do?
12,,FALSE,Generation Deactivation Refund Charge Summary,generationdeactivationrefundchargesummary,GnDctRefCh,https://msrs.pjm.com/msrs/browserless.do?
13,,FALSE,Non-Synchronized Reserve Credits,non-synchronizedreservecredits,NSRCr,https://msrs.pjm.com/msrs/browserless.do?
14,,FALSE,Non-Synchronized Reserve Summary,non-synchronizedreservesummary,NSRChCr,https://msrs.pjm.com/msrs/browserless.do?
15,,FALSE,NSR Load Reconciliation Charge Summary,nsrloadreconciliationchargesummary,NSRRecCh,https://msrs.pjm.com/msrs/browserless.do?
16,,FALSE,Emergency Load Response Credit,emergencyloadresponsecredit,EmerLRCr,https://msrs.pjm.com/msrs/browserless.do?
17,,FALSE,Transmission Enhancement Charge Summary,transmissionenhancementchargesummary,TranEnhCh,https://msrs.pjm.com/msrs/browserless.do?
